,Year,^Toplam nüfus,^Yayınevi sayısı,^Bandrol alan kitap adedi,^Ücretsiz dağıtılan ders kitabı adedi,^Üretilen toplam kitap adedi,^Dağıtım şirketi sayısı,^Gayri safi yurtiçi,^Kişi başına GSYH
0,2008,71517100,1432,163165695,128233848,291399543,150,742094,47
1,2009,72561312,1546,170324457,183268000,353592457,150,616703,46
2,2010,73722988,1605,214414289,193925000,408339289,150,731608,50
3,2011,74724269,1676,289193982,204275661,493469643,150,957800,52
4,2012,75627384,1811,293257824,187000000,480257824,150,786293,54
5,2013,76667864,1732,330017405,206241635,536259040,150,786293,53
6,2014,77695904,1732,344405399,216698371,561103770,145,598971,63
